episode,mode,agent_id,reward,length,crashed,avg_speed,distance,training_steps
0,multi-shared,0,3.965069106394889,15,True,34.3907283280772,-130.72362849112434,100000
0,multi-shared,1,3.1236633280785853,15,True,29.635127988848684,-169.89966360387064,100000
1,multi-shared,0,2.7481197759489673,50,True,33.637859617324935,-124.29535304661057,100000
1,multi-shared,1,19.427897944583197,50,False,37.28388584367739,1832.314877825232,100000
2,multi-shared,0,19.87377266949942,50,False,38.41114289460437,1885.6673755709132,100000
2,multi-shared,1,19.97562733655822,50,False,39.01439635710344,1911.8310671080287,100000
3,multi-shared,0,4.485818185044978,16,True,36.60706549701558,-132.1261970684446,100000
3,multi-shared,1,1.1965327052783383,16,True,32.11703975433972,-176.41341870477055,100000
4,multi-shared,0,19.707518586961196,50,False,37.80876336004921,1857.3338030977714,100000
4,multi-shared,1,19.91324392243234,50,False,38.073731369785264,1867.187568821412,100000
5,multi-shared,0,4.285556809720081,50,True,33.96555609843439,-123.32840410871756,100000
5,multi-shared,1,19.82517782194051,50,False,35.980021164105075,1767.1056454182453,100000
6,multi-shared,0,19.494359576694055,50,False,36.49794473557901,1793.3339775134698,100000
6,multi-shared,1,19.7261217627656,50,False,36.334582872805086,1783.44859870014,100000
7,multi-shared,0,0.1765212210991296,50,True,24.47431665693128,-125.28801568877505,100000
7,multi-shared,1,19.32601466259247,50,False,34.63611104782008,1704.8891220209825,100000
8,multi-shared,0,19.391989832440967,50,False,36.93761217070376,1813.0810421192475,100000
8,multi-shared,1,1.6403416316037043,50,True,27.84761381015028,-177.1083962945015,100000
9,multi-shared,0,6.746855704377877,50,True,35.65218338349532,-126.98572254004736,100000
9,multi-shared,1,19.452720995355033,50,False,37.28992965292179,1833.1785072581201,100000
