episode,mode,agent_id,reward,length,crashed,avg_speed,distance,training_steps
0,single,0,19.9367885925051,50,False,39.68242736325013,1949.1594718458523,100000
1,single,0,2.570530999765256,11,True,35.14136062109878,358.0450545584841,100000
2,single,0,19.941530531380582,50,False,39.34311170811183,1930.6190329378037,100000
3,single,0,5.805971525107306,19,True,36.78077453746774,673.2914778198431,100000
4,single,0,19.830958426914396,50,False,38.71792032234915,1899.496663229145,100000
5,single,0,19.735624879150535,50,False,39.00463057068143,1916.7505899100445,100000
6,single,0,19.975076035424497,50,False,39.53116733387901,1940.1457468905687,100000
7,single,0,19.778908150483783,50,False,37.826623035520385,1855.6787977976123,100000
8,single,0,19.49439643118987,50,False,37.95620151338994,1869.2126687039986,100000
9,single,0,3.076017072696259,12,True,36.506839292057144,416.0992469625394,100000
